iter	Passed	Remaining
607	7940	5119
608	7952	5106
609	7964	5092
610	7977	5079
611	7990	5065
612	8002	5052
613	8014	5038
614	8026	5024
615	8038	5011
616	8050	4997
617	8062	4983
618	8075	4970
619	8088	4957
620	8102	4945
621	8115	4931
622	8128	4918
623	8140	4905
624	8154	4892
625	8166	4878
626	8179	4865
627	8191	4852
628	8203	4838
629	8215	4824
630	8227	4811
631	8239	4797
632	8251	4783
633	8262	4769
634	8275	4756
635	8288	4743
636	8301	4730
637	8314	4717
638	8326	4704
639	8339	4691
640	8352	4677
641	8364	4664
642	8378	4651
643	8391	4638
644	8404	4625
645	8416	4612
646	8428	4598
647	8440	4585
648	8452	4571
649	8464	4557
650	8478	4545
651	8491	4532
652	8503	4518
653	8516	4505
654	8530	4492
655	8544	4480
656	8557	4467
657	8569	4453
658	8581	4440
659	8594	4427
660	8607	4414
661	8619	4400
662	8631	4387
663	8644	4374
664	8656	4360
665	8669	4347
666	8682	4334
667	8696	4322
668	8709	4309
669	8721	4295
670	8734	4282
671	8746	4269
672	8759	4256
673	8772	4243
674	8784	4229
675	8797	4216
676	8810	4203
677	8822	4190
678	8834	4176
679	8847	4163
680	8859	4150
681	8872	4136
682	8884	4123
683	8897	4110
684	8910	4097
685	8923	4084
686	8935	4071
687	8947	4057
688	8960	4044
689	8973	4031
690	8985	4018
691	8997	4004
692	9010	3991
693	9022	3978
694	9034	3964
695	9047	3951
696	9059	3938
697	9071	3924
698	9083	3911
699	9095	3897
700	9108	3885
701	9121	3872
702	9133	3858
703	9146	3845
704	9158	3832
705	9171	3819
706	9184	3806
707	9196	3792
708	9209	3779
709	9221	3766
710	9234	3753
711	9246	3740
712	9259	3727
713	9271	3713
714	9283	3700
715	9295	3687
716	9307	3673
717	9320	3660
718	9334	3648
719	9347	3634
720	9360	3622
721	9373	3609
722	9386	3596
723	9399	3583
724	9411	3570
725	9424	3556
726	9437	3543
727	9450	3531
728	9463	3517
729	9476	3504
730	9488	3491
731	9501	3478
732	9513	3465
733	9527	3452
734	9541	3440
735	9556	3427
736	9571	3415
737	9583	3402
738	9596	3389
739	9609	3376
740	9622	3363
741	9635	3350
742	9648	3337
743	9661	3324
744	9673	3311
745	9686	3298
746	9698	3284
747	9710	3271
748	9722	3258
749	9736	3245
750	9749	3232
751	9762	3219
752	9774	3206
753	9787	3193
754	9799	3180
755	9812	3166
756	9824	3153
757	9836	3140
758	9849	3127
759	9860	3113
760	9873	3100
761	9885	3087
762	9898	3074
763	9911	3061
764	9924	3048
765	9936	3035
766	9949	3022
767	9963	3009
768	9975	2996
769	9987	2983
770	10000	2970
771	10012	2957
772	10026	2944
773	10039	2931
774	10052	2918
775	10065	2905
776	10077	2892
777	10091	2879
778	10103	2866
779	10115	2853
780	10127	2839
781	10139	2826
782	10151	2813
783	10164	2800
784	10177	2787
785	10189	2774
786	10203	2761
787	10215	2748
788	10228	2735
789	10240	2722
790	10252	2709
791	10265	2695
792	10277	2682
793	10289	2669
794	10301	2656
795	10314	2643
796	10326	2630
797	10339	2617
798	10351	2604
799	10363	2590
800	10376	2577
801	10387	2564
802	10399	2551
803	10411	2538
804	10422	2524
805	10433	2511
806	10444	2497
807	10456	2484
808	10467	2471
809	10477	2457
810	10488	2444
811	10499	2431
812	10511	2417
813	10522	2404
814	10533	2391
815	10544	2377
816	10555	2364
817	10566	2350
818	10576	2337
819	10588	2324
820	10602	2311
821	10614	2298
822	10627	2285
823	10640	2272
824	10654	2260
825	10666	2246
826	10678	2233
827	10690	2220
828	10703	2207
829	10716	2194
830	10728	2181
831	10740	2168
832	10753	2155
833	10766	2142
834	10777	2129
835	10789	2116
836	10803	2103
837	10816	2091
838	10829	2078
839	10842	2065
840	10855	2052
841	10868	2039
842	10880	2026
843	10893	2013
844	10906	2000
845	10919	1987
846	10932	1974
847	10945	1961
848	10958	1948
849	10970	1936
850	10983	1923
851	10995	1910
852	11009	1897
853	11022	1884
854	11034	1871
855	11047	1858
856	11060	1845
857	11073	1832
858	11086	1819
859	11099	1806
860	11112	1793
861	11124	1780
862	11137	1767
863	11149	1754
864	11161	1742
865	11174	1729
866	11186	1715
867	11198	1702
868	11210	1689
869	11225	1677
870	11239	1664
871	11251	1651
872	11264	1638
873	11277	1625
874	11289	1612
875	11302	1599
876	11316	1587
877	11329	1574
878	11341	1561
879	11354	1548
880	11366	1535
881	11378	1522
882	11390	1509
883	11402	1496
884	11415	1483
885	11427	1470
886	11439	1457
887	11452	1444
888	11465	1431
889	11479	1418
890	11491	1405
891	11503	1392
892	11515	1379
893	11528	1366
894	11540	1353
895	11552	1340
896	11565	1327
897	11577	1315
898	11589	1302
899	11601	1289
900	11614	1276
901	11627	1263
902	11639	1250
903	11651	1237
904	11664	1224
905	11675	1211
906	11687	1198
907	11698	1185
908	11708	1172
909	11719	1159
910	11730	1146
911	11741	1132
912	11752	1119
913	11763	1106
914	11774	1093
915	11786	1080
916	11797	1067
917	11808	1054
918	11819	1041
919	11830	1028
920	11841	1015
921	11852	1002
922	11865	989
923	11878	977
924	11890	964
925	11902	951
926	11915	938
927	11927	925
928	11939	912
929	11951	899
930	11963	886
931	11976	873
932	11990	861
933	12002	848
934	12014	835
935	12026	822
936	12039	809
937	12052	796
938	12066	783
939	12079	771
940	12091	758
941	12103	745
942	12116	732
943	12128	719
944	12141	706
945	12152	693
946	12165	680
947	12177	667
948	12190	655
949	12202	642
950	12214	629
951	12227	616
952	12239	603
953	12251	590
954	12264	577
955	12277	565
956	12290	552
957	12302	539
958	12314	526
959	12326	513
960	12338	500
961	12350	487
962	12362	474
963	12374	462
964	12386	449
965	12398	436
966	12410	423
967	12422	410
968	12434	397
969	12446	384
970	12458	372
971	12470	359
972	12482	346
973	12494	333
974	12505	320
975	12516	307
976	12527	294
977	12538	282
978	12549	269
979	12560	256
980	12571	243
981	12582	230
982	12593	217
983	12604	204
984	12615	192
985	12625	179
986	12636	166
987	12647	153
988	12658	140
989	12669	127
990	12682	115
991	12695	102
992	12707	89
993	12720	76
994	12732	63
995	12744	51
996	12757	38
997	12770	25
998	12782	12
999	12796	0
