iter	Accuracy	MultiClass
324	0.886805708	0.2575980233
325	0.8867618002	0.2575547178
326	0.8867178924	0.257526664
327	0.8866739846	0.2574850462
328	0.8867178924	0.2574440294
329	0.8866300768	0.2573435534
330	0.8866739846	0.2572924121
331	0.8867618002	0.2572513108
332	0.8866739846	0.2571071359
333	0.8864544457	0.2570247297
334	0.886586169	0.2568888765
335	0.8865422613	0.2568570398
336	0.8865422613	0.2568241516
337	0.8867618002	0.2565669601
338	0.8867618002	0.2565017857
339	0.886586169	0.2564161327
340	0.886805708	0.2563657388
341	0.8869374314	0.256118508
342	0.8872008782	0.2560240998
343	0.8872886937	0.2559645591
344	0.8873326015	0.2559002316
345	0.8873326015	0.2558310901
346	0.8875082327	0.2557214282
347	0.8875521405	0.2556591025
348	0.8876399561	0.2555731794
349	0.8875521405	0.2554944694
350	0.8876838639	0.2554186171
351	0.8875521405	0.2553679696
352	0.8877277717	0.2553296149
353	0.8877277717	0.2552910855
354	0.8877716795	0.2552209248
355	0.8877277717	0.2551782624
356	0.8879034029	0.2551102566
357	0.8881668496	0.2550012361
358	0.8881668496	0.2548338865
359	0.8884302964	0.2547367615
360	0.8882107574	0.2546567769
361	0.8882546652	0.2545635421
362	0.8883424808	0.254504766
363	0.8883424808	0.2544797895
364	0.8884302964	0.2544228665
365	0.8884302964	0.2543732261
366	0.8885620198	0.2542965034
367	0.888518112	0.2542766548
368	0.8884302964	0.2542275963
369	0.8887376509	0.2541045977
370	0.8888693743	0.254069077
371	0.8888693743	0.2540197411
372	0.8890450055	0.2539538531
373	0.8889132821	0.2538763756
374	0.8888254665	0.2538301529
375	0.8889132821	0.2536780037
376	0.8888693743	0.2535800671
377	0.8892645445	0.253458018
378	0.889571899	0.2533724858
379	0.88935236	0.2533012558
380	0.88935236	0.253223793
381	0.8894401756	0.2531662446
382	0.88935236	0.2531087154
383	0.8895279912	0.2530380404
384	0.8895279912	0.2530030528
385	0.8896158068	0.2529142721
386	0.8897475302	0.2528205819
387	0.889791438	0.2527373975
388	0.8899231614	0.2526428383
389	0.8902305159	0.2524287754
390	0.8900987925	0.252347394
391	0.8901427003	0.2522933451
392	0.8901427003	0.2521695411
393	0.8900987925	0.2521338291
394	0.8900548847	0.2521124535
395	0.8900987925	0.2520721835
396	0.8900987925	0.2520500349
397	0.8901866081	0.252027637
398	0.8901427003	0.2519844328
399	0.8900548847	0.2519124225
400	0.8904061471	0.2518183084
401	0.8904061471	0.2517665801
402	0.8905817783	0.2517111332
403	0.8906256861	0.251660999
404	0.8906256861	0.2515557809
405	0.8906695939	0.2514220784
406	0.890845225	0.2513673757
407	0.8907574094	0.2513167982
408	0.8907135016	0.2512475927
409	0.890845225	0.2512110036
410	0.890845225	0.2511358369
411	0.8908013172	0.2510196977
412	0.890845225	0.2509644077
413	0.890845225	0.2509166942
414	0.8906256861	0.2508062313
415	0.8908013172	0.2507699009
416	0.8906256861	0.2507378796
417	0.8906695939	0.2506411311
418	0.8905817783	0.2506044826
419	0.8905378705	0.2505318075
420	0.8906256861	0.2505087213
421	0.8904939627	0.2504460194
422	0.8904939627	0.2504024626
423	0.8905817783	0.2503251859
424	0.8907135016	0.2502864508
425	0.8907574094	0.2501989
426	0.8908013172	0.250150346
427	0.8907574094	0.2501100203
428	0.8907574094	0.2500778757
429	0.8909769484	0.2499987741
430	0.8911086718	0.2499439489
431	0.8911525796	0.2498512477
432	0.891064764	0.2498223235
433	0.891064764	0.2497527958
434	0.8910208562	0.2496115988
435	0.8911086718	0.2495869951
436	0.8913282108	0.2494802117
437	0.8913721186	0.2493895498
438	0.8913282108	0.2492910025
439	0.8915477497	0.2492138677
440	0.8917233809	0.2491361382
441	0.8915916575	0.2490709467
442	0.8917672887	0.249009043
443	0.8917672887	0.2489659607
444	0.8918990121	0.2488611989
445	0.8919868277	0.2488257409
446	0.8921624588	0.24875828
447	0.8922063666	0.2487036181
448	0.8922063666	0.2484761748
449	0.8922941822	0.2484193508
450	0.8922941822	0.2483345721
451	0.8922063666	0.2482977845
452	0.8922502744	0.2482513749
453	0.89233809	0.2482167726
454	0.8922941822	0.2481565012
455	0.8924698134	0.2481260694
456	0.8926015368	0.2480306495
457	0.8924698134	0.2480009957
458	0.8923819978	0.2479530862
459	0.8923819978	0.2479046298
460	0.8924259056	0.2478306332
461	0.89233809	0.2478028582
462	0.89233809	0.2477826457
463	0.8925137212	0.247751042
464	0.8925137212	0.2476847175
465	0.8926015368	0.2476416812
466	0.8926893524	0.2475810345
467	0.8927771679	0.247529612
468	0.8927771679	0.2474678697
469	0.8929088913	0.2473647296
470	0.8929088913	0.2473093714
471	0.8929527991	0.2472085872
472	0.8927332602	0.2471046435
473	0.8928649835	0.2470702776
474	0.8929088913	0.2469991425
475	0.8928649835	0.2469197891
476	0.8928210757	0.2468770091
477	0.8928649835	0.2468512032
478	0.8927771679	0.2467808133
479	0.8930406147	0.2466904287
480	0.8930845225	0.2466134275
481	0.8929088913	0.2465543996
482	0.8931284303	0.2465060286
483	0.8932601537	0.2464750045
484	0.8933040615	0.2464290089
485	0.8934357849	0.2463848371
486	0.8933479693	0.2462863768
487	0.8932162459	0.246258065
488	0.8931723381	0.2461664336
489	0.8933479693	0.2460702073
490	0.8933479693	0.2459535082
491	0.8931723381	0.245903771
492	0.8933040615	0.2458299227
493	0.8934357849	0.2457933124
494	0.8934357849	0.2457401347
495	0.8935236004	0.2456710854
496	0.8934357849	0.2456511547
497	0.8935236004	0.2455695433
498	0.893611416	0.2455215382
499	0.893611416	0.2454966473
500	0.8938748628	0.2454242711
501	0.8939187706	0.2453545188
502	0.8940065862	0.2453223269
503	0.8939626784	0.2452753577
504	0.893830955	0.2452383239
505	0.8939187706	0.245209237
506	0.8939187706	0.2451637473
507	0.8941383095	0.245097645
508	0.8939626784	0.2450512839
509	0.8940944018	0.2449895934
510	0.8940065862	0.2449701255
511	0.894050494	0.2448800031
512	0.8940944018	0.2448423578
513	0.894050494	0.2448135604
514	0.8940944018	0.244739648
515	0.8941822173	0.2447156386
516	0.8941822173	0.2446752048
517	0.8944017563	0.2446284878
518	0.8946652031	0.2445198958
519	0.8948408342	0.2443721634
520	0.8948408342	0.244331833
521	0.8947969265	0.2442746517
522	0.8947969265	0.2441770279
523	0.8947969265	0.2441330067
524	0.8947969265	0.2440797872
525	0.8946652031	0.2439844788
526	0.8947091109	0.2439057856
527	0.8946652031	0.2438567359
528	0.8946652031	0.2438278776
529	0.8947091109	0.2438050205
530	0.8946212953	0.2437651612
531	0.8946212953	0.2436900421
532	0.8948408342	0.2436020083
533	0.8947969265	0.2435387029
534	0.8948408342	0.2434758324
535	0.8949286498	0.2434096034
536	0.8949286498	0.2433563339
537	0.8949286498	0.2432329274
538	0.895104281	0.2431772098
539	0.8950603732	0.2431323615
540	0.8950603732	0.2429977815
541	0.8950603732	0.2429477772
542	0.8952360044	0.2428965167
543	0.895104281	0.242855582
544	0.89532382	0.2427617095
545	0.8952799122	0.242673627
546	0.8954116356	0.2425973602
547	0.8954116356	0.2425625098
548	0.8954555434	0.2424757801
549	0.8955433589	0.2424195956
550	0.8955872667	0.2423091853
551	0.8956750823	0.2422490476
552	0.8956311745	0.2422157968
553	0.8954994512	0.2421230975
554	0.8956311745	0.2420709933
555	0.8956311745	0.2420181107
556	0.8956311745	0.2419376476
557	0.8955872667	0.2419033527
558	0.8955433589	0.2418881528
559	0.8954994512	0.2418219685
560	0.8955433589	0.2417374655
561	0.8954994512	0.2416837618
562	0.8955433589	0.2416433828
563	0.8956311745	0.2415724719
564	0.8958068057	0.2415011201
565	0.8960263447	0.2414485792
566	0.8960702525	0.2413801251
567	0.8962019759	0.2413340981
568	0.8962019759	0.2412627911
569	0.8961580681	0.2412320935
570	0.8962019759	0.2411738151
571	0.8961580681	0.2410552279
572	0.8961580681	0.2410121443
573	0.8961580681	0.2409685913
574	0.8962458836	0.2409270805
575	0.8961141603	0.2409033501
576	0.8961580681	0.240823037
577	0.8961141603	0.2408022389
578	0.8961580681	0.2407417396
579	0.8962897914	0.2406556763
580	0.8965093304	0.2406002145
581	0.8965093304	0.2405641328
582	0.8965532382	0.2404749969
583	0.896597146	0.2404360577
584	0.8965532382	0.2403792152
585	0.8964654226	0.2403445375
586	0.8965093304	0.2403023951
587	0.896377607	0.2402549381
588	0.8965532382	0.2402048386
589	0.8964654226	0.2401212493
590	0.8965093304	0.2400803798
591	0.8964654226	0.2400385956
592	0.8965532382	0.239960652
593	0.8965093304	0.2399232947
594	0.8965093304	0.2398548732
595	0.8965093304	0.239812964
596	0.8966410538	0.239779725
597	0.8966849616	0.2397103025
598	0.8967288694	0.2396480581
599	0.896597146	0.2396254724
600	0.8967288694	0.2395658555
601	0.896597146	0.2394980157
602	0.8966410538	0.2394322842
603	0.8967288694	0.2394041402
604	0.896816685	0.2393496513
605	0.8969045005	0.239288595
606	0.8969045005	0.2392720659
607	0.8969045005	0.2392056347
608	0.8970801317	0.2391507421
609	0.8972118551	0.2390687575
610	0.8971679473	0.2390147077
611	0.8972557629	0.2389735453
612	0.8971679473	0.2389055687
613	0.8972557629	0.238855267
614	0.8971240395	0.2387213897
615	0.8969484083	0.2386878373
616	0.8969923161	0.2386709025
617	0.8970362239	0.2386271688
618	0.8972118551	0.2385779094
619	0.8972118551	0.2385297958
620	0.8973874863	0.2384160872
621	0.8975631175	0.2383375527
622	0.8977387486	0.2382566757
623	0.8976948408	0.2382358344
624	0.8976070252	0.2381955974
625	0.8977387486	0.2381547931
626	0.8977826564	0.2381191408
627	0.8979143798	0.2380782097
628	0.897870472	0.2380390068
629	0.897870472	0.2379817124
630	0.8981778266	0.237887536
631	0.8981339188	0.2378452618
632	0.898090011	0.2376561348
633	0.8981339188	0.2376203201
634	0.8980461032	0.23756665
635	0.8981339188	0.2375246649
636	0.8984412733	0.2373864572
637	0.8985729967	0.2373486018
638	0.8985290889	0.2372735889
639	0.8983534577	0.2371918744
640	0.8984412733	0.2371273727
641	0.8984851811	0.2371021111
642	0.8986608123	0.2370654598
643	0.8985729967	0.2370519044
644	0.8985290889	0.2369971988
645	0.8984851811	0.2369391238
646	0.8986169045	0.2369154198
647	0.8986608123	0.2368675432
648	0.8988364435	0.2368184244
649	0.8984412733	0.236767227
650	0.8989242591	0.2366658295
651	0.8989242591	0.2366183566
652	0.899143798	0.2365568472
653	0.899143798	0.2365119808
654	0.8992316136	0.2364791638
655	0.8990998902	0.2364486976
656	0.8990120746	0.2364002477
657	0.8988803513	0.2363289301
658	0.8988803513	0.2362742357
659	0.899143798	0.2362295322
660	0.8990998902	0.2361819227
661	0.8989242591	0.2361508666
662	0.8987925357	0.2360930231
663	0.8988803513	0.2360489389
664	0.8989681668	0.2359885907
665	0.8991877058	0.2359352813
666	0.8990559824	0.2358937459
667	0.8990998902	0.2358549124
668	0.8989681668	0.2358029477
669	0.8990120746	0.235746566
670	0.8990559824	0.2357191258
671	0.8990998902	0.2356713093
672	0.8990998902	0.2356513002
673	0.899143798	0.2356124453
674	0.8993194292	0.2355288024
675	0.8992755214	0.2354469914
676	0.8993194292	0.235403096
677	0.8993194292	0.2353810106
678	0.8992755214	0.2353491013
679	0.899143798	0.235263856
680	0.8992755214	0.2352022168
681	0.8994072448	0.2351516626
682	0.8994072448	0.2351309612
683	0.8994950604	0.2350977946
684	0.8993194292	0.2350739025
685	0.8993194292	0.235042974
686	0.899143798	0.2349854127
687	0.8991877058	0.234922551
688	0.8992316136	0.23487775
689	0.8994072448	0.2348038039
690	0.899363337	0.2347512148
691	0.8994072448	0.234703392
692	0.8994511526	0.2346336648
693	0.8993194292	0.2345783081
694	0.899363337	0.2344980614
695	0.8994072448	0.2344675393
696	0.8994950604	0.2343644007
697	0.8994511526	0.2343276732
698	0.899363337	0.2342957355
699	0.8994511526	0.234256309
700	0.8993194292	0.2342259122
701	0.8993194292	0.2341840912
702	0.8994950604	0.2341565822
703	0.899363337	0.2341118057
704	0.8994511526	0.2340850978
705	0.8994072448	0.2340281496
706	0.8996706915	0.2339997262
707	0.8994511526	0.2339484374
708	0.8995389682	0.2338984263
709	0.8994950604	0.2338412189
710	0.8994072448	0.2338024804
711	0.8996267838	0.2337460898
712	0.8996706915	0.2336975768
713	0.8998902305	0.23364323
714	0.8998902305	0.2336209633
715	0.8998024149	0.2335792651
716	0.8999341383	0.2334998011
717	0.8999341383	0.2334694363
718	0.9000219539	0.2333366807
719	0.9000219539	0.2332627287
720	0.8999780461	0.2332375197
721	0.9000658617	0.2332128925
722	0.9000219539	0.2331850894
723	0.9003732162	0.23310617
724	0.9004610318	0.2330267155
725	0.9002854007	0.2329594876
726	0.9005049396	0.232899188
727	0.9005927552	0.232840843
728	0.9005927552	0.2327616557
729	0.900636663	0.2327153984
730	0.9005488474	0.232613541
731	0.9008122942	0.232570034
732	0.9008122942	0.2325074294
733	0.9005488474	0.2324631547
734	0.9007244786	0.2324170099
735	0.9009001098	0.2323900563
736	0.9009001098	0.232340907
